paddle1 action: 2 | frame: 3905
paddle1 action: 2 | frame: 3910
paddle1 action: 2 | frame: 3915
paddle1 action: 1 | frame: 3920
paddle1 action: 1 | frame: 3925
paddle1 action: 2 | frame: 3930
paddle1 action: 1 | frame: 3935
paddle1 action: 1 | frame: 3940
paddle1 action: 2 | frame: 3945
paddle1 action: 1 | frame: 3950
paddle1 action: 2 | frame: 3955
paddle1 action: 2 | frame: 3960
paddle1 action: 2 | frame: 3970
paddle1 action: 2 | frame: 3975
paddle1 action: 1 | frame: 3985
paddle1 action: 2 | frame: 3990
paddle1 action: 2 | frame: 3995
paddle1 action: 2 | frame: 4005
paddle1 action: 2 | frame: 4010
paddle1 action: 2 | frame: 4020
paddle1 action: 2 | frame: 4025
paddle1 action: 1 | frame: 4035
paddle1 action: 2 | frame: 4040
paddle1 action: 1 | frame: 4050
paddle1 action: 2 | frame: 4055
paddle1 action: 2 | frame: 4060
paddle1 action: 2 | frame: 4065
paddle1 action: 2 | frame: 4070
paddle1 action: 1 | frame: 4080
paddle1 action: 2 | frame: 4085
paddle1 action: 1 | frame: 4095
paddle1 action: 2 | frame: 4100
paddle1 action: 2 | frame: 4105
paddle1 action: 1 | frame: 4110
paddle1 action: 2 | frame: 4115
paddle1 action: 2 | frame: 4125
paddle1 action: 2 | frame: 4130
paddle1 action: 2 | frame: 4140
paddle1 action: 2 | frame: 4145
paddle1 action: 1 | frame: 4155
paddle1 action: 2 | frame: 4160
paddle1 action: 2 | frame: 4165
paddle1 action: 2 | frame: 4175
paddle1 action: 2 | frame: 4180
paddle1 action: 2 | frame: 4190
paddle1 action: 2 | frame: 4195
paddle1 action: 1 | frame: 4200
paddle1 action: 1 | frame: 4205
paddle1 action: 2 | frame: 4210
paddle1 action: 1 | frame: 4215
paddle1 action: 2 | frame: 4220
paddle1 action: 2 | frame: 4225
paddle1 action: 1 | frame: 4235
paddle1 action: 1 | frame: 4240
paddle1 action: 2 | frame: 4245
paddle1 action: 1 | frame: 4250
paddle1 action: 1 | frame: 4255
paddle1 action: 2 | frame: 4260
paddle1 action: 2 | frame: 4265
paddle1 action: 2 | frame: 4270
paddle1 action: 2 | frame: 4275
paddle1 action: 2 | frame: 4280
paddle1 action: 1 | frame: 4285
paddle1 action: 1 | frame: 4290
paddle1 action: 2 | frame: 4295
paddle1 action: 1 | frame: 4300
paddle1 action: 2 | frame: 4305
paddle1 action: 2 | frame: 4310
paddle1 action: 1 | frame: 4315
paddle1 action: 2 | frame: 4320
paddle1 action: 2 | frame: 4325
paddle1 action: 2 | frame: 4330
paddle1 action: 1 | frame: 4335
paddle1 action: 2 | frame: 4340
paddle1 action: 0 | frame: 4345
paddle1 action: 0 | frame: 4350
paddle1 action: 2 | frame: 4355
paddle1 action: 0 | frame: 4360
paddle1 action: 0 | frame: 4365
paddle1 action: 2 | frame: 4370
paddle1 action: 0 | frame: 4375
paddle1 action: 0 | frame: 4380
paddle1 action: 1 | frame: 4385
paddle1 action: 2 | frame: 4390
paddle1 action: 2 | frame: 4395
paddle1 action: 2 | frame: 4400
paddle1 action: 2 | frame: 4405
paddle1 action: 1 | frame: 4410
paddle1 action: 2 | frame: 4415
paddle1 action: 2 | frame: 4420
paddle1 action: 2 | frame: 4425
paddle1 action: 2 | frame: 4430
paddle1 action: 2 | frame: 4435
paddle1 action: 0 | frame: 4440
paddle1 action: 1 | frame: 4445
paddle1 action: 2 | frame: 4450
paddle1 action: 0 | frame: 4455
paddle1 action: 2 | frame: 4460
paddle1 action: 2 | frame: 4465
paddle1 action: 0 | frame: 4470
paddle1 action: 0 | frame: 4475
paddle1 action: 2 | frame: 4480
paddle1 action: 0 | frame: 4485
paddle1 action: 0 | frame: 4490
paddle1 action: 0 | frame: 4495
paddle1 action: 0 | frame: 4500
paddle1 action: 1 | frame: 4505
paddle1 action: 2 | frame: 4510
paddle1 action: 0 | frame: 4515
paddle1 action: 1 | frame: 4520
paddle1 action: 2 | frame: 4525
paddle1 action: 2 | frame: 4530
paddle1 action: 2 | frame: 4535
paddle1 action: 2 | frame: 4540
paddle1 action: 2 | frame: 4545
paddle1 action: 2 | frame: 4550
paddle1 action: 2 | frame: 4555
paddle1 action: 2 | frame: 4560
paddle1 action: 2 | frame: 4565
paddle1 action: 2 | frame: 4570
paddle1 action: 2 | frame: 4575
paddle1 action: 2 | frame: 4580
paddle1 action: 2 | frame: 4585
paddle1 action: 2 | frame: 4590
paddle1 action: 1 | frame: 4595
paddle1 action: 1 | frame: 4600
paddle1 action: 2 | frame: 4605
paddle1 action: 0 | frame: 4610
paddle1 action: 2 | frame: 4615
paddle1 action: 2 | frame: 4620
paddle1 action: 2 | frame: 4625
paddle1 action: 1 | frame: 4630
paddle1 action: 2 | frame: 4635
paddle1 action: 2 | frame: 4640
paddle1 action: 1 | frame: 4650
paddle1 action: 2 | frame: 4655
paddle1 action: 0 | frame: 4660
